
Nombre,Apellido,Grupo
Juan,Director,global_directores
Salvador,Secretario,global_secretarios
Ester,Director,global_directores
Mario,Coordinador,global_coordinadores
Carlos,Coordinador,global_coordinadores
Ruben,Coordinador,global_coordinadores
Ernesto,Director,global_directores
Laura,Director,global_directores
Hugo,Director,global_directores
Isabel,Secretario,global_secretarios
Estefania,Supervisor,global_comerciales_A
Rodrigo,Supervisor,global_comerciales_B
Daniela,Comercial,global_comerciales_A
David,Comercial,global_comerciales_A
Diego,Comercial,global_comerciales_A
Eva,Comercial,global_comerciales_B
Natalia,Comercial,global_comerciales_B
Valentina,Comercial,global_comerciales_B
Adela,Coordinador,global_tecnicos_A
Jose,Coordinador,global_tecnicos_B
Manuel,Coordinador,global_tecnicos_C
Alexis,Informatico,global_tecnicos_A
Arturo,Informatico,global_tecnicos_A
Esteban,Informatico,global_tecnicos_A
Ezequiel,Informatico,global_tecnicos_A
Felipe,Informatico,global_tecnicos_B
Fernando,Informatico,global_tecnicos_B
Guillermo,Informatico,global_tecnicos_B
Jairo,Informatico,global_tecnicos_B
Lucas,Informatico,global_tecnicos_C
Marco,Informatico,global_tecnicos_C
Pablo,Informatico,global_tecnicos_C
Xavier,Informatico,global_tecnicos_C
